annee,code,libelle,codspe,codniv,codec,cm,td,tp,tpe,cr
2024/2025,SIN354,"Soins infirmiers en réanimation – Soins aux personnes
atteintes de déficiences spéciales",SIN,03,PROF,30.0,10.0,0.0,5.0,3.0
2024/2025,SIN355,Stage de santé communautaire II,SIN,03,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,SIN356,Stage clinique V,SIN,03,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,SIN357,Droit médical – Santé au travail – Médecine scolaire,SIN,03,TRANS,30.0,10.0,0.0,5.0,3.0
2024/2025,SIN361,"Techniques de soins spécifiques 1 (neurologie,
ophtalmologie, stomatologie, dermatologie – ORL)",SIN,03,FOND,30.0,0.0,40.0,5.0,5.0
2024/2025,SIN362,"Techniques de soins spécifiques 2 – (Urologie –
Pneumologie - gastro entérologie- Cardiologie)",SIN,03,FOND,20.0,0.0,35.0,5.0,4.0
2024/2025,SIN363,Mise en situation professionnelle 1 (MSP 1),SIN,03,PROF,40.0,16.0,0.0,4.0,4.0
2024/2025,SIN364,Mise en situation professionnelle 2 (MSP 2),SIN,03,PROF,30.0,10.0,0.0,5.0,3.0
2024/2025,SIN365,Mise en situation professionnelle 3 (MSP 3),SIN,03,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,SIN366,Rédaction du projet de recherche (travail de fin d’études),SIN,03,PROF,50.0,0.0,20.0,5.0,5.0
2024/2025,SIN367,Éducation civique et éthique,SIN,03,TRANS,30.0,10.0,0.0,5.0,3.0
2024/2025,TLB111,Biologie cellulaire et histologie – Anatomie physiologie 1 –Chimie générale,TLB,01,FOND,70.0,12.0,0.0,8.0,6.0
2024/2025,TLB112,Microbiologie générale 1 – Biochimie générale,TLB,01,FOND,32.0,8.0,0.0,5.0,3.0
2024/2025,TLB113,Sociologie et anthropologie médicale – Psychologie médicale – Éthique et déontologie médicale,TLB,01,PROF,44.0,10.0,0.0,6.0,4.0
2024/2025,TLB114,Cycle de vie – Soins infirmiers – Secourisme,TLB,01,PROF,42.0,8.0,6.0,4.0,4.0
2024/2025,TLB115,Physique – Mathématique – Biostatistique,TLB,01,PROF,40.0,14.0,0.0,6.0,4.0
2024/2025,TLB116,Stage clinique 1,TLB,01,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,TLB117,Langue officielle  -  Techniques de l’information et de la communication 1,TLB,01,TRANS,30.0,9.0,0.0,6.0,3.0
2024/2025,TLB121,Anatomie et physiologie 2 – Chimie organique,TLB,01,FOND,60.0,22.0,0.0,8.0,6.0
2024/2025,TLB122,Microbiologie générale  2 – Parasitologie générale,TLB,01,FOND,28.0,6.0,6.0,5.0,3.0
2024/2025,TLB123,Techniques de laboratoire,TLB,01,PROF,30.0,2.0,10.0,3.0,3.0
2024/2025,TLB124,IEC 1-  Hygiène générale et hospitalière -  Maladies infectieuses et parasitaires ,TLB,01,PROF,62.0,14.0,0.0,14.0,6.0
2024/2025,TLB125,Pharmacologie générale – Nutrition - Épidémiologie,TLB,01,PROF,34.0,6.0,0.0,5.0,3.0
2024/2025,TLB126,Stage  clinique 2,TLB,01,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,TLB127,Économie générale – Démographie,TLB,01,TRANS,30.0,7.0,0.0,8.0,3.0
2024/2025,TLB231,IEC 2 - Santé et développement -  Santé communautaire,TLB,02,FOND,65.0,20.0,0.0,20.0,7.0
2024/2025,TLB232,Initiation à la recherche,TLB,02,FOND,20.0,4.0,0.0,6.0,2.0
2024/2025,TLB233,Hématologie Clinique 1 -  Entomologie médicale -  Transfusion sanguine,TLB,02,PROF,40.0,10.0,15.0,10.0,5.0
2024/2025,TLB234,Biochimie Clinique 1 – Laboratoire,TLB,02,PROF,30.0,6.0,20.0,4.0,4.0
2024/2025,TLB235,Bactériologie Clinique 1 – Laboratoire,TLB,02,PROF,30.0,2.0,10.0,3.0,3.0
2024/2025,TLB236,Stage de santé communautaire 1,TLB,02,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,TLB237,Anglais médical/Français médical - Techniques de l’information et de la communication 2,TLB,02,TRANS,30.0,9.0,0.0,6.0,3.0
2024/2025,TLB241,Parasitologie Clinique 1 –  Mycologie médicale – Immunologie/Sérologie,TLB,02,FOND,60.0,14.0,8.0,8.0,6.0
2024/2025,TLB242,Économie de la santé – Programme prioritaire de santé au Cameroun,TLB,02,FOND,32.0,8.0,0.0,5.0,3.0
2024/2025,TLB243,Bactériologie Clinique 2 - Biochimie Clinique 2 – Laboratoire,TLB,02,PROF,30.0,4.0,20.0,6.0,4.0
2024/2025,TLB244,Hématologie Clinique 2 -Laboratoire,TLB,02,PROF,15.0,2.0,10.0,3.0,2.0
2024/2025,TLB245,Stage clinique 3,TLB,02,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,TLB246,Stage clinique 4,TLB,02,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,TLB247,Droitmédical,TLB,02,TRANS,30.0,10.0,0.0,5.0,3.0
2024/2025,TLB351,IEC3 - Système d’information sanitaire - Gestion sanitaire,TLB,03,FOND,60.0,12.0,0.0,18.0,6.0
2024/2025,TLB352,Rédactiondemémoire,TLB,03,FOND,15.0,0.0,0.0,30.0,3.0
2024/2025,TLB353,Parasitologie Clinique 2  - Hématologie Clinique 3 – Laboratoire,TLB,03,PROF,40.0,8.0,45.0,12.0,7.0
2024/2025,TLB354,Bactériologie Clinique 3  - Laboratoire-Virologie,TLB,03,PROF,25.0,4.0,10.0,6.0,3.0
2024/2025,TLB355,Chimie analytique – Laboratoire,TLB,03,PROF,15.0,4.0,5.0,6.0,2.0
2024/2025,TLB356,Stage de santé communautaire 2,TLB,03,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,TLB357,Initiation à la recherche  -  TIC - ,TLB,03,TRANS,30.0,9.0,0.0,6.0,3.0
2024/2025,TLB361,Microbiologie de l’environnement – Microbiologie des aliments,TLB,03,FOND,50.0,16.0,0.0,9.0,5.0
2024/2025,TLB362,Histopathologie – Cytologiehumaine,TLB,03,FOND,40.0,12.0,0.0,8.0,4.0
2024/2025,TLB363,Biochimie Clinique  3  - Parasitologie Clinique 3 – Laboratoire,TLB,03,PROF,20.0,4.0,30.0,6.0,4.0
2024/2025,TLB364,Biologiemoléculaire,TLB,03,PROF,20.0,6.0,0.0,4.0,2.0
2024/2025,TLB365,Stage clinique 5,TLB,03,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,TLB366,Stage clinique 6,TLB,03,PROF,0.0,0.0,70.0,20.0,6.0
2024/2025,TLB367,Projet tutoré,TLB,03,TRANS,10.0,0.0,15.0,20.0,3.0
2025/2026,ACC111 ,Mathematics and Computer Science I ,ACC,01,FUND,50.0,20.0,0.0,5.0,5.0
2025/2026,ACC112 ,Quantitative techniques of management I ,ACC,01,FUND,40.0,15.0,0.0,5.0,4.0
2025/2026,ACC113 ,General accounting I ,ACC,01,PROF,70.0,15.0,15.0,5.0,7.0
2025/2026,ACC114 ,Costs and management accounting I ,ACC,01,PROF,40.0,10.0,5.0,5.0,4.0
2025/2026,ACC115 ,Taxation I ,ACC,01,PROF,25.0,10.0,5.0,5.0,3.0
2025/2026,ACC116 ,"Introduction to Financial Analysis and
accounting to the computer I ",ACC,01,PROF,20.0,20.0,15.0,5.0,4.0
2025/2026,ACC117 ,Bilingual training I and Environment ,ACC,01,CROSS,25.0,10.0,5.0,5.0,3.0
2025/2026,ACC121 ,Mathematics and Computing II ,ACC,01,FUND,15.0,40.0,15.0,5.0,5.0
2025/2026,ACC122 ,"Quantitative techniques of
management II ",ACC,01,FUND,10.0,30.0,10.0,5.0,4.0
2025/2026,ACC123 ,General Accounting II ,ACC,01,PROF,40.0,20.0,25.0,5.0,6.0
2025/2026,ACC124 ,Costs accounting II ,ACC,01,PROF,35.0,10.0,10.0,5.0,4.0
2025/2026,ACC125 ,Methodology and Taxation II ,ACC,01,PROF,30.0,10.0,15.0,5.0,4.0
2025/2026,ACC126 ,"Introduction to Financial Analysis and
accounting to the computer II ",ACC,01,PROF,20.0,15.0,20.0,5.0,4.0
2025/2026,ACC127 ,Bilingual Training II and Environment ,ACC,01,TRANS,25.0,10.0,5.0,5.0,3.0
2025/2026,BAT111,Mathématiques I,BAT,01,FOND,30.0,25.0,0.0,5.0,4.0
2025/2026,BAT112,Physique et Chimie,BAT,01,FOND,35.0,23.0,12.0,5.0,5.0
2025/2026,BAT113,Procédés généraux de construction,BAT,01,PROF,25.0,15.0,0.0,5.0,3.0
2025/2026,BAT114,Dessin et technologie de bâtiment,BAT,01,PROF,35.0,10.0,0.0,0.0,3.0
2025/2026,BAT115,Organisation des chantiers,BAT,01,PROF,35.0,20.0,0.0,5.0,4.0
2025/2026,BAT116,Architecture et Résistance des matériaux,BAT,01,PROF,45.0,55.0,15.0,5.0,8.0
2025/2026,BAT117,Formation bilingue,BAT,01,TRANS,25.0,15.0,0.0,5.0,3.0
2025/2026,BAT121,Mathématiques II,BAT,01,FOND,30.0,25.0,0.0,5.0,4.0
2025/2026,BAT122,Physique et Informatique,BAT,01,FOND,35.0,20.0,15.0,5.0,5.0
2025/2026,BAT123,Bureau d’étude et projets,BAT,01,PROF,40.0,20.0,10.0,5.0,5.0
2025/2026,BAT124,Topographie I,BAT,01,PROF,20.0,10.0,10.0,5.0,3.0
2025/2026,BAT125,Béton armé I,BAT,01,PROF,30.0,25.0,0.0,5.0,4.0
2025/2026,BAT126,Géotechnique et Résistances des matériaux II,BAT,01,PROF,55.0,20.0,10.0,5.0,6.0
2025/2026,BAT127,"Création d’entreprise et Education civique et
éthique",BAT,01,TRANS,30.0,10.0,0.0,5.0,3.0
2025/2026,BAT231,Mathématiques III,BAT,02,FOND,30.0,30.0,0.0,0.0,4.0
2025/2026,BAT232,Physique et Chimie,BAT,02,FOND,35.0,20.0,15.0,5.0,5.0
2025/2026,BAT233,Equipements et Matériaux,BAT,02,PROF,55.0,20.0,0.0,0.0,5.0
2025/2026,BAT234,Résistance III,BAT,02,PROF,20.0,10.0,10.0,5.0,3.0
2025/2026,BAT235,Béton Armé II et Dessin assisté par ordinateur,BAT,02,PROF,40.0,15.0,45.0,5.0,7.0
2025/2026,BAT236,Procédés et techniques de réalisation,BAT,02,PROF,30.0,15.0,0.0,0.0,3.0
2025/2026,BAT237,Comptabilité et Droit du travail,BAT,02,TRANS,30.0,10.0,0.0,5.0,3.0
2025/2026,BAT241,Mathématiques IV,BAT,02,FOND,30.0,30.0,0.0,0.0,4.0
2025/2026,BAT242,Informatique II,BAT,02,FOND,20.0,10.0,40.0,5.0,5.0
2025/2026,BAT243,Bureau d’etude II et Dessin assisté par ordinateur,BAT,02,PROF,30.0,10.0,30.0,5.0,5.0
2025/2026,BAT244,Fondations et soutènements,BAT,02,PROF,20.0,10.0,15.0,0.0,3.0
2025/2026,BAT245,Topographie II et Essais,BAT,02,PROF,25.0,10.0,20.0,5.0,4.0
2025/2026,BAT246,Stage professionnel,BAT,02,PROF,0.0,0.0,60.0,30.0,6.0
2025/2026,BAT247,Economie,BAT,02,TRANS,30.0,10.0,0.0,5.0,3.0
2025/2026,BOW111,Engineering Mathematics I ,BOW,01,FUND,30.0,25.0,0.0,5.0,4.0
2025/2026,BOW112,Enginer in the Society ,BOW,01,FUND,30.0,25.0,15.0,5.0,5.0
2025/2026,BOW113,Methods and jigs and fixtures ,BOW,01,PROF,35.0,20.0,0.0,5.0,4.0
2025/2026,BOW114,Practice of welding ,BOW,01,PROF,10.0,0.0,60.0,5.0,5.0
2025/2026,BOW115,Technology and Materials ,BOW,01,PROF,40.0,30.0,0.0,5.0,5.0
2025/2026,BOW116,Marking out I ,BOW,01,PROF,25.0,15.0,15.0,5.0,4.0
2025/2026,BOW117,Bilingual training ,BOW,01,TRANS,25.0,17.0,0.0,3.0,3.0
2025/2026,BOW121,"Engineering Mathematics II and Fluid
Mechanics ",BOW,01,FUND,30.0,25.0,0.0,5.0,4.0
2025/2026,BOW122,Workshop supervisor Management ,BOW,01,FUND,35.0,20.0,15.0,5.0,5.0
2025/2026,BOW123,"Analysis and Design of metal
structures ",BOW,01,PROF,35.0,20.0,0.0,5.0,4.0
2025/2026,BOW124,Design of sheet metal structures ,BOW,01,PROF,15.0,10.0,30.0,5.0,4.0
2025/2026,BOW125,Metallurgy I ,BOW,01,PROF,30.0,25.0,15.0,5.0,5.0
2025/2026,BOW126,"Computer aided drawing
(Autocard) ",BOW,01,PROF,20.0,15.0,35.0,5.0,5.0
2025/2026,BOW127,"Computer for business I / Civic and
Moral Education ",BOW,01,TRANS,27.0,15.0,0.0,3.0,3.0
2025/2026,BOW231,EngineeringMathematics III ,BOW,02,FUND,30.0,25.0,0.0,5.0,4.0
2025/2026,BOW232,"Computer for business and computer
programming ",BOW,02,FUND,30.0,25.0,15.0,5.0,5.0
2025/2026,BOW233,"numerical control and costs
estimation ",BOW,02,PROF,30.0,30.0,10.0,5.0,5.0
2025/2026,BOW234,Methods and jigs and fixtures II ,BOW,02,PROF,27.0,15.0,0.0,3.0,3.0
2025/2026,BOW235,CAD and metallurgy II ,BOW,02,PROF,35.0,20.0,15.0,5.0,5.0
2025/2026,BOW236,Metrology ,BOW,02,PROF,20.0,5.0,45.0,5.0,5.0
2025/2026,BOW237,"Environmental Engineering and
Enterpreneuriaship ",BOW,02,TRANS,27.0,15.0,0.0,3.0,3.0
2025/2026,BOW241,Engineering Mathematics IV ,BOW,02,FUND,30.0,25.0,0.0,5.0,4.0
2025/2026,BOW242,Physics and chemistry ,BOW,02,FUND,20.0,10.0,40.0,5.0,5.0
2025/2026,BOW243,marking out II and sheet metal ,BOW,02,PROF,25.0,0.0,45.0,5.0,5.0
2025/2026,BOW244,"CFAO and digital control numerical
control and CAM ",BOW,02,PROF,25.0,10.0,20.0,5.0,4.0
2025/2026,BOW245,Analysis and Design II ,BOW,02,PROF,22.0,20.0,0.0,3.0,3.0
2025/2026,BOW246,Academic Internship ,BOW,02,PROF,0.0,0.0,60.0,30.0,6.0
2025/2026,BOW247,"Industrial safety /Engineering
Management Law and Economics ",BOW,02,TRANS,27.0,15.0,0.0,3.0,3.0
2025/2026,BST111,Mathematics I ,BST,01,FUND,30.0,25.0,0.0,5.0,4.0
2025/2026,BST112,Physics and Chemistry I ,BST,01,FUND,35.0,23.0,12.0,5.0,5.0
2025/2026,BST113,General construction processes ,BST,01,PROF,25.0,15.0,0.0,5.0,3.0
2025/2026,BST114,Design and building Technology ,BST,01,PROF,40.0,15.0,0.0,5.0,4.0
2025/2026,BST115,sites organization ,BST,01,PROF,45.0,25.0,0.0,5.0,5.0
2025/2026,BST116,"Architecture and resistance of
materials I ",BST,01,PROF,35.0,40.0,10.0,5.0,6.0
2025/2026,BST117,Bilingual Training ,BST,01,TRANS,25.0,15.0,0.0,5.0,3.0
2025/2026,BST121,Mathematics II ,BST,01,FUND,30.0,25.0,0.0,5.0,4.0
2025/2026,BST122,Computer Science I ,BST,01,FUND,35.0,20.0,15.0,5.0,5.0
2025/2026,BST123,Design office and projects ,BST,01,PROF,40.0,20.0,10.0,5.0,5.0
2025/2026,BST124,Topography I ,BST,01,PROF,20.0,10.0,10.0,5.0,3.0
2025/2026,BST125,Reinforced concrete I ,BST,01,PROF,30.0,25.0,0.0,5.0,4.0
2025/2026,BST126,"Geotechnics and resistance of
materials II ",BST,01,PROF,55.0,20.0,10.0,5.0,6.0
2025/2026,BST127,"Creation of Company and Civic and
Moral Education ",BST,01,TRANS,30.0,10.0,0.0,5.0,3.0
2025/2026,BST231,Mathematics III ,BST,02,FUND,30.0,30.0,0.0,0.0,4.0
2025/2026,BST232,Physics and Chemistry II ,BST,02,FUND,35.0,20.0,15.0,5.0,5.0
2025/2026,BST233,Equipment and Materials ,BST,02,PROF,55.0,20.0,0.0,0.0,5.0
2025/2026,BST234,Resistance of Materials III ,BST,02,PROF,20.0,10.0,10.0,5.0,3.0
2025/2026,BST235,"Reinforced concrete II and Computer
Assisted Drawing I",BST,02,PROF,35.0,15.0,35.0,5.0,6.0
2025/2026,BST236,Processes and techniques of realization ,BST,02,PROF,30.0,15.0,0.0,0.0,3.0
2025/2026,BST237,"Methodology of drafting internship
report / LAW ",BST,02,TRANS,30.0,10.0,0.0,5.0,3.0
2025/2026,BST241,Statistics ,BST,02,FUND,30.0,30.0,0.0,0.0,4.0
2025/2026,BST242,Computer Science II ,BST,02,FUND,20.0,10.0,40.0,5.0,5.0
2025/2026,BST243,"Design office II and Computer
Assisted Drawing II ",BST,02,PROF,30.0,10.0,30.0,5.0,5.0
2025/2026,BST244,Foundations and retaining structures ,BST,02,PROF,20.0,10.0,15.0,0.0,3.0
2025/2026,BST245,Topography II and tests ,BST,02,PROF,25.0,10.0,20.0,5.0,4.0
2025/2026,BST246,Professional internship ,BST,02,PROF,0.0,0.0,60.0,30.0,6.0
2025/2026,BST247,Accounting and Economics ,BST,02,TRANS,30.0,10.0,0.0,5.0,3.0
2025/2026,CFP110,Module CFP110,CFP,01,PROF,232.0,116.0,58.0,29.0,22.0
2025/2026,CFP111,Module CFP111,CFP,01,PROF,53.0,27.0,13.0,7.0,7.0
2025/2026,CFP114,Module CFP114,CFP,01,PROF,16.0,8.0,4.0,2.0,2.0
2025/2026,CFP115,Module CFP115,CFP,01,PROF,8.0,4.0,2.0,1.0,1.0
2025/2026,CFP120,Module CFP120,CFP,01,PROF,192.0,96.0,48.0,24.0,13.0
2025/2026,CFP121,Module CFP121,CFP,01,PROF,72.0,36.0,18.0,9.0,5.0
2025/2026,CFP123,Module CFP123,CFP,01,PROF,69.0,35.0,17.0,9.0,3.0
2025/2026,CFP132,Module CFP132,CFP,01,PROF,96.0,48.0,24.0,12.0,12.0
2025/2026,CFPACB0,Aide Chimiste Biologiste-Module 0,CFPACB,01,FOND,128.25,63.0,22.5,11.25,15.0
2025/2026,CFPACB1,Aide Chimiste Biologiste-Module 1,CFPACB,01,PROF,128.25,63.0,22.5,11.25,14.0
2025/2026,CFPACB2,Aide Chimiste Biologiste-Module 2,CFPACB,01,PROF,257.3550109863281,126.41999816894531,45.150001525878906,22.575000762939453,52.5
2025/2026,CFPACB3,Aide Chimiste Biologiste-Module 3,CFPACB,02,PROF,116.27999877929688,57.119998931884766,20.399999618530273,10.199999809265137,36.0
2025/2026,CFPACB4,Aide Chimiste Biologiste-Module 4,CFPACB,02,PROF,256.5,126.0,45.0,22.5,30.0
2025/2026,CFPACM0,Assistant en Cabinet Médical-Module 0,CFPACM,01,PROF,270.75,133.0,47.5,23.75,30.0
2025/2026,CFPACM1,Assistant en Cabinet Médical-Module 1,CFPACM,01,PROF,222.3000030517578,109.19999694824219,39.0,19.5,23.0
2025/2026,CFPACM2,Assistant en Cabinet Médical-Module 2,CFPACM,01,TRANS,34.20000076293945,16.799999237060547,6.0,3.0,4.0
2025/2026,CFPFCL0,Froid et Climatisation-Module 0,CFPFCL,01,TRANS,488.489990234375,239.9600067138672,85.69999694824219,42.849998474121094,1.0
2025/2026,CFPFCL1,Froid et Climatisation-Module 1,CFPFCL,01,PROF,171.0,84.0,30.0,15.0,0.0
2025/2026,CFPISA0,Installation Sanitaire-Module 0,CFPISA,01,PROF,1724.25,847.0,302.5,151.25,1.0
2025/2026,CFPISA1,Installation Sanitaire-Module 1,CFPISA,01,PROF,273.6000061035156,134.39999389648438,48.0,24.0,0.0
2025/2026,CGE111 ,Mathématiques et informatique I ,CGE,01,FOND,50.0,20.0,0.0,5.0,5.0
2025/2026,CGE112 ,Techniques quantitatives de gestion I ,CGE,01,FOND,40.0,15.0,0.0,5.0,4.0
2025/2026,CGE113 ,Comptabilité générale I ,CGE,01,PROF,70.0,15.0,15.0,5.0,7.0
2025/2026,CGE114 ,Comptabilité analytique I ,CGE,01,PROF,40.0,10.0,5.0,5.0,4.0
2025/2026,CGE115 ,Fiscalité I ,CGE,01,PROF,25.0,10.0,5.0,5.0,3.0
2025/2026,CGE116 ,"Introduction à l’analyse Financière et
Comptabilité à l’ordinateur CAO I ",CGE,01,PROF,20.0,20.0,15.0,5.0,4.0
2025/2026,CGE117 ,Formation bilingue ,CGE,01,TRANS,25.0,10.0,5.0,5.0,3.0
2025/2026,CGE121 ,Mathématiques et informatique II ,CGE,01,FOND,15.0,40.0,15.0,5.0,5.0
2025/2026,CGE122 ,Techniques quantitatives de gestion II ,CGE,01,FOND,10.0,30.0,10.0,5.0,4.0
2025/2026,CGE123 ,Comptabilité générale II ,CGE,01,PROF,40.0,20.0,25.0,5.0,6.0
2025/2026,CGE124 ,Comptabilité analytique II ,CGE,01,PROF,35.0,10.0,10.0,5.0,4.0
2025/2026,CGE125 ,Méthodologie et Fiscalité II ,CGE,01,PROF,30.0,10.0,15.0,5.0,4.0
2025/2026,CGE126 ,"Introduction à l’analyse Financière et
Comptabilité à l’ordinateur CAOII ",CGE,01,PROF,20.0,15.0,20.0,5.0,4.0
2025/2026,CGE127 ,Economie et Gestion des entreprises ,CGE,01,TRANS,25.0,10.0,5.0,5.0,3.0
2025/2026,CGE231 ,Techniques quantitatives de gestion III ,CGE,02,FOND,50.0,15.0,5.0,5.0,5.0
2025/2026,CGE232 ,Mathématiques et Informatique III ,CGE,02,FOND,25.0,15.0,15.0,5.0,4.0
2025/2026,CGE233 ,Comptabilité des sociétés I ,CGE,02,PROF,20.0,15.0,20.0,5.0,4.0
2025/2026,CGE234 ,Analyse financière I ,CGE,02,PROF,20.0,10.0,10.0,5.0,3.0
2025/2026,CGE235 ,Gestion prévisionnelle I et II ,CGE,02,PROF,50.0,15.0,20.0,5.0,6.0
2025/2026,CGE236 ,Fiscalité et CAO III ,CGE,02,PROF,15.0,40.0,15.0,5.0,5.0
2025/2026,CGE237 ,"Education citoyenne et déontologie
professionnelle ",CGE,02,TRANS,25.0,10.0,5.0,5.0,3.0
2025/2026,CGE241 ,Techniques quantitatives IV ,CGE,02,FOND,15.0,40.0,15.0,5.0,5.0
2025/2026,CGE242 ,Mathématiques et Informatique IV ,CGE,02,FOND,15.0,20.0,20.0,5.0,4.0
2025/2026,CGE243 ,Comptabilité des sociétés II ,CGE,02,PROF,15.0,20.0,20.0,5.0,4.0
2025/2026,CGE244 ,Analyse financière II ,CGE,02,PROF,15.0,15.0,10.0,5.0,3.0
2025/2026,CGE245 ,Fiscalité et CAO IV ,CGE,02,PROF,10.0,45.0,15.0,5.0,5.0
2025/2026,CGE246 ,Stage professionnel ,CGE,02,PROF,0.0,0.0,60.0,30.0,6.0
2025/2026,CGE247 ,Entrepreneuriat et marketing ,CGE,02,TRANS,25.0,15.0,0.0,5.0,3.0
2025/2026,DOT111 ,Environnement économique et juridique I ,DOT,01,FOND,40.0,15.0,0.0,5.0,4.0
2025/2026,DOT112 ,Enseignement scientifique de base I ,DOT,01,FOND,40.0,20.0,10.0,5.0,5.0
2025/2026,DOT113 ,Introduction au droit douanier ,DOT,01,PROF,20.0,10.0,0.0,0.0,2.0
2025/2026,DOT114 ,Régimes douaniers ,DOT,01,PROF,40.0,15.0,0.0,5.0,4.0
2025/2026,DOT115 ,Transit I ,DOT,01,PROF,15.0,10.0,30.0,5.0,4.0
2025/2026,DOT116 ,Eléments de taxation I ,DOT,01,PROF,70.0,30.0,15.0,5.0,8.0
2025/2026,DOT117 ,Formation bilingue ,DOT,01,TRANS,30.0,5.0,5.0,5.0,3.0
2025/2026,DOT121 ,Environnement économique et juridique II ,DOT,01,FOND,40.0,15.0,0.0,5.0,4.0
2025/2026,DOT122 ,Enseignement scientifique de base II ,DOT,01,FOND,40.0,20.0,10.0,5.0,5.0
2025/2026,DOT123 ,Procédure de dédouanement ,DOT,01,PROF,40.0,15.0,0.0,5.0,4.0
2025/2026,DOT124 ,Impôt douanier ,DOT,01,PROF,20.0,5.0,0.0,5.0,2.0
2025/2026,DOT125 ,Transport ,DOT,01,PROF,70.0,25.0,20.0,5.0,8.0
2025/2026,DOT126 ,Transit II ,DOT,01,PROF,20.0,10.0,25.0,5.0,4.0
2025/2026,DOT127 ,Informatique ,DOT,01,TRANS,20.0,10.0,10.0,5.0,3.0
2025/2026,DOT231 ,Environnement économique et juridique III ,DOT,02,FOND,40.0,15.0,0.0,5.0,4.0
2025/2026,DOT232 ,Enseignements scientifiques de base III ,DOT,02,FOND,40.0,20.0,10.0,5.0,5.0
2025/2026,DOT233 ,Gestion des litiges douaniers ,DOT,02,PROF,30.0,20.0,5.0,5.0,4.0
2025/2026,DOT234 ,Eléments de taxation II ,DOT,02,PROF,60.0,40.0,15.0,5.0,8.0
2025/2026,DOT235 ,Transit III ,DOT,02,PROF,20.0,30.0,5.0,5.0,4.0
2025/2026,DOT236 ,Informatique appliquée ,DOT,02,PROF,10.0,5.0,10.0,5.0,2.0
2025/2026,DOT237 ,"Education citoyenne et déontologie
professionnelle ",DOT,02,TRANS,30.0,5.0,5.0,5.0,3.0
2025/2026,DOT241 ,Environnement économique et juridique IV ,DOT,02,FOND,40.0,15.0,0.0,5.0,4.0
2025/2026,DOT242 ,Enseignements scientifiques de base IV ,DOT,02,FOND,40.0,20.0,10.0,5.0,5.0
2025/2026,DOT243 ,Pratique douanière ,DOT,02,PROF,10.0,20.0,25.0,5.0,4.0
2025/2026,DOT244 ,Eléments de taxation III ,DOT,02,PROF,10.0,20.0,25.0,5.0,4.0
2025/2026,DOT245 ,Pratique de transit ,DOT,02,PROF,10.0,20.0,25.0,5.0,4.0
2025/2026,DOT246 ,Stage professionnel ,DOT,02,PROF,0.0,0.0,30.0,60.0,6.0
2025/2026,DOT247 ,Entrepreneuriat et marketing ,DOT,02,TRANS,30.0,5.0,5.0,5.0,3.0
2025/2026,ELN111,Mathematics I ,ELN,01,FUND,40.0,15.0,0.0,5.0,4.0
2025/2026,ELN112,Physics and Chemistry ,ELN,01,FUND,40.0,20.0,10.0,5.0,5.0
2025/2026,ELN113,"Basics of Electricity and Electrical
circuit ",ELN,01,PROF,40.0,30.0,0.0,5.0,5.0
2025/2026,ELN114,Electrical Machines ,ELN,01,PROF,45.0,25.0,0.0,5.0,5.0
2025/2026,ELN115,Electronics and Automation ,ELN,01,PROF,40.0,20.0,10.0,5.0,5.0
2025/2026,ELN116,Construction Design ,ELN,01,PROF,25.0,10.0,5.0,5.0,3.0
2025/2026,ELN117,Bilingual Training ,ELN,01,TRANS,25.0,15.0,0.0,5.0,3.0
2025/2026,ELN121,Mathematics II ,ELN,01,FUND,40.0,15.0,0.0,5.0,4.0
2025/2026,ELN122,Physics and Computer Science ,ELN,01,FUND,35.0,20.0,15.0,5.0,5.0
2025/2026,ELN123,"Measurement Technology and
Electronics",ELN,01,PROF,45.0,25.0,0.0,5.0,5.0
2025/2026,ELN124,Maintenance ,ELN,01,PROF,45.0,25.0,0.0,5.0,5.0
2025/2026,ELN125,"Power Electronics and actuator
control",ELN,01,PROF,30.0,0.0,25.0,5.0,4.0
2025/2026,ELN126,CAD in Electrical Engineering ,ELN,01,PROF,20.0,0.0,35.0,5.0,4.0
2025/2026,ELN127,"Business creation, Civil and ethical
Education ",ELN,01,TRANS,25.0,15.0,0.0,5.0,3.0
2025/2026,ELN231,Mathematics III ,ELN,02,FUND,40.0,15.0,0.0,5.0,4.0
2025/2026,ELN232,Physics and Chemistry ,ELN,02,FUND,40.0,20.0,10.0,5.0,5.0
2025/2026,ELN233,Practical Work Electronic II ,ELN,02,PROF,25.0,15.0,15.0,5.0,4.0
2025/2026,ELN234,"Introduction in the Robotics
electronics ",ELN,02,PROF,40.0,0.0,30.0,5.0,5.0
2025/2026,ELN235,Maintenance of complexe Systems ,ELN,02,PROF,25.0,0.0,30.0,5.0,4.0
2025/2026,ELN236,"Data Processing and
Telecommunications Network ",ELN,02,PROF,30.0,15.0,25.0,5.0,5.0
2025/2026,ELN237,Accounting and labour law ,ELN,02,TRANS,25.0,15.0,0.0,5.0,3.0
